分数_Score,公司代码()_CompanyCode,上市公司代码_Comcd,最新公司全称_Lcomnm,行业_Industry,创新机构行业分布占比_InnovationInstitutions(%),行业集中度CR8值_CR8IndustryConcentration,周期性行业_PeriodIndustry,劳动力行业分布_LaborIndustryDistribution,高水平人才分布_DistributionOfHighLevelTalents,数据化人才分布_DataTalentDistribution,每股收益(元/股)_BasicEPS,每股净资产(元/股)_NAPS,每股营业总收入(元/股)_ToloperevPS,每股营业利润(元/股)_OpeprfPS,每股息税前利润(元/股)_EBITPS,每股未分配利润(元/股)_UndivprfPS,每股留存收益(元/股)_RetearPS,每股经营活动现金流量(元/股)_OpeCFPS,每股净现金流量(元/股)_CFPS,每股企业自由现金流量(元/股)_EntfcfPS,净资产收益率(平均)(%)_AvgROE,资产净利率(%)_ROA,投入资本回报率(%)_ROIC,销售净利率(%)_Netprfrt,销售毛利率(%)_Gincmrt,销售成本率(%)_Salcostrt,营业利润/营业总收入_OpeprTOR,息税前利润/营业总收入(%)_EBITTOR,营业总成本/营业总收入(%)_TopecostTOR,销售费用率(%)_Opeexprt,管理费用率(%)_Admexprt,财务费用率(%)_Finexprt,资产减值损失/营业总收入_AstimpaTOR,净利润_Netprf,息税前利润_EBIT,息税折旧摊销前利润_EBITDA,营业利润率(%)_Opeprfrt,成本费用利润率(%)_Totprfcostrt,流动比率(%)_Currt,速动比率(%)_Qckrt,超速动比率(%)_Supqckrt,产权比率(%)_Dbequrt,股东权益/负债合计_Equtotlia,股东权益/带息债务(%)_Equintdb,有形净值债务率(%)_Dbtanequrt,有形净值/净债务(%)_Tanastndb,经营净现金流量/负债合计_NOCFtotlia,长期负债与营运资金比率(NULL)_Ldbwrkcap,现金流动负债比_OpeCcurdb,每股收益增长率(%)_EPSgrrt,营业收入3年复合增长率()_OperaInc3GrRt,营业利润增长率(%)_Opeprfgrrt,利润总额增长率(%)_Totprfgrrt,净利润增长率(%)_Netprfgrrt,归属母公司的净利润过去五年平均增幅(%)_NPPCavggrrt,经营活动现金流量净额增长率(%)_NOCFgrrt,净资产收益率(摊薄)增长率(%)_ROAgrrt,净资产增长率(%)_Netassgrrt,总资产增长率(%)_Totassgrrt,股东权益相对年初增长率(%)_EquYTDgrrt,资产总计相对年初增长率(%)_TotastYTDgrrt,可持续增长率(%)_Susgrrt,营业周期(天/次)_Opecyc,存货周转率(次)_Invtrtrrat,应收账款周转率(次)_ARTrat,应付账款周转率(次)_AccrPayrat,流动资产周转率(次)_Currat,固定资产周转率(次)_Fixassrat,股东权益周转率(次)_Equrat,总资产周转率(次)_Totassrat,销售商品劳务收入现金/营业收入(%)_SalesevOpeincm,销售现金比率(%)_Casrtsale,经营现金净流量/经营净收益(%)_NOCFONI,资本支出/折旧和摊销_CapexpDM,现金及其等价物净增加额(元)_CCEinc,经营现金净流量(元)_NOCF,自由现金流量(元)_FreeCF,净利润现金含量(元)_Netprfcascvr,营业收入现金含量(%)_Opeincmcashcvr,总资产现金回收率(%)_OpeCass,每股现金及现金等价物余额(元/股)_CCEPS,留存盈余比率(%)_Retearrt,资产负债率(%)_Dbastrt,长期借款/总资产(%)_Ldbass,应付债券/总资产(%)_Bdpayass,股东权益/全部投入资本(%)_Equtotcap,带息债务/全部投入资本(%)_Intdbtotcap,流动负债/负债合计(%)_Curtotlia,非流动负债/负债合计(%)_Noncurtotlia,股东权益比率(%)_Equass,营运资金(元)_Wrkcap,长期负债/股东权益_Ldbequ,经营活动净收益／利润总额(%)_OPItprf,经营活动净收益／利润总额(TTM)(%)_OPItprfTTM,对联营合营公司投资收益/利润总额(%)_Invretassoctprf,价值变动净收益／利润总额(%)_Valchgtprf,营业外收支净额／利润总额(%)_Noopenitprf,净利润/营业总收入(%)_NPTOIDP,净利润/利润总额(%)_NPTPDP,利润总额/息税前利润(%)_TPEBITDDP,息税前利润/营业总收入(%)_EBITTOIDDP,RGB_Red,RGB_Green,RGB_Blue,主营业务_MainBusiness,积极新闻舆情_Positive,消极新闻舆情_Nagative,消极/积极_Na/P,消极/中立_Na/Ne,监管确定_RegulatoryCertainty,劳动力流动_LabourMobility,资本流动_CapitalFlow,贸易流量_TradeFlow,全球经济增长地位_GlobalEconomicGrowthPosition,国民经济增长地位_NationEconomicGrowthPosition,法治程度_RuleOfLaw,有形产权_TangiblePropertyRights,无形产权_IntangiblePropertyRights,纠纷调解_DisputeResolution,税收优惠_TaxIncentive,税收负担_TaxBurden
67.5,75102,C002289,深圳市宇顺电子股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,-0.5506,1.1302,1.1572,-0.5427,-0.5009,-6.0114,-5.9546,-0.1449,0.0694,0.288,-39.1775,-23.1455,-27.3802,-47.5831,3.0073,96.9927,-46.8941,-43.2858,147.386,4.1883,14.9907,3.8767,19.6551,-154320452.2,-140383545.9,-101817791.1,-46.8941,-39.5695,1.1426,0.9157,0.8735,89.3031,111.9782,128.9376,102.5785,184.625,-0.1435,2.0568,-0.1856,-21.0642,-54.23,-10.6753,-15.9305,-18.0574,-941.807,-112.758,-80.0712,-32.7602,-18.2975,-32.7602,-18.2975,,141,6.0833,4.353,,1.2316,0.9711,0.8234,0.4864,92.1531,-12.5175,,0.2034,19452127.74,-40596536.22,-55704170.12,,92.1531,-6.0888,0.1757,,47.1747,0.0692,,56.32,43.68,77.3162,22.6838,52.8253,31195536.28,0.2026,,,,,,-47.5831,,,-43.2858,15,57,115,2,0.0811,0.1216,0.0608,1.4994,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
68,76847,C002308,威创集团股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.17,3.9109,1.2847,0.2198,0.2273,1.1179,1.3559,0.1738,-0.024,0.1043,4.5212,3.8728,4.6947,14.517,54.1491,45.8509,17.1117,17.6954,89.7673,12.3675,21.0422,0.5448,0.8264,158445671.3,206950114.8,255407176.4,17.1117,21.5604,3.2183,2.8445,2.6924,24.6107,406.3267,623.5537,52.3547,,0.1806,0.2681,0.288,-22.7273,7.66,-4.1197,-3.5178,-11.2556,-1.1142,-36.4656,-19.1821,3.2371,3.637,3.2371,3.637,,217,2.5583,4.6791,,0.6398,2.8667,0.3337,0.2668,104.9688,13.528,132.2041,0.9025,-21886508.55,158212048.2,-2197731370,93.1876,104.9688,3.609,1.2736,,19.6367,0.0544,,86.1793,13.8207,62.7045,37.2955,80.3633,1218795570,0.0911,59.4703,59.4703,0.9279,12.8977,0.5503,14.517,84.3697,97.2364,17.6954,200,39,40,6,0.5479,0.0137,0.0023,0.025,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
66,76987,C002313,日海智能科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.23,6.5066,14.167,0.2789,0.5413,1.9242,2.1175,-2.616,-1.394,-0.3616,3.5711,1.1775,4.31,1.5791,17.6528,82.3472,1.9686,3.8208,99.1098,4.9946,4.7441,1.6624,1.3942,71697046.87,168881538,235762106.9,1.9686,2.1471,1.2323,0.6364,0.4872,237.8408,42.0449,46.221,402.8766,31.2115,-0.169,0.3545,-0.183,-30.303,15.49,1.3303,-25.9293,-29.8056,-20.2386,-1234.5117,-31.2719,2.2555,38.5624,2.2555,38.5624,3.1334,331,1.6013,3.3812,,0.9063,13.7333,2.2016,0.7457,88.0372,-18.4655,-2074.3195,0.8389,-434922184.9,-816190440.8,-447836592.7,-1169.3314,88.0372,-13.7691,1.2208,89.1209,70.1191,0.0208,,31.6104,68.3896,92.3917,7.6083,29.8809,1036238999,0.1785,44.2251,44.2251,-0.023,0.6431,2.1987,1.5791,78.4525,52.6824,3.8208,227,16,30,13,0.6518,0.0179,0.0014,0.0275,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
68.5,77011,C002316,深圳亚联发展科技股份有限公司,3,0.06,0.3287,1,0.0289,0.1273,0.3986,0.2544,2.2374,10.0058,1.2464,1.1575,0.6427,0.7449,2.177,-0.7224,0.6197,11.68,10.2345,22.19,8.1064,34.854,65.146,12.4573,11.5688,89.0446,6.3678,11.084,1.3219,1.8036,100026434.6,455055759.5,548965383.8,12.4952,12.3327,0.7424,0.6927,0.5525,255.5004,39.1389,45.3919,-3658.0429,,0.3808,,0.4521,510.9855,66.57,733.8233,600.1821,536.8076,-222.0996,5163.2677,488.3584,5.5637,3.8375,5.5637,3.8375,35.9038,68,24.9872,6.6844,,2.6564,14.3844,4.5931,1.2664,92.1575,21.8234,198.5967,3.2423,-283997537.3,855808255.1,-316314169.5,269.212,92.1575,27.5524,0.5947,94.1048,71.0138,0.1081,,31.2204,68.7796,84.2265,15.7735,28.9862,-487538824.9,0.3864,106.1039,106.1039,2.3976,0.5251,-20.6496,8.0818,78.2725,89.2501,11.5688,17,117,186,2,0.2931,0.069,0.0345,0.2354,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
67,78116,C002351,深圳市漫步者科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.09,2.9994,1.4795,0.1045,0.0994,0.6494,0.7682,0.0917,0.0637,0.1842,3.005,2.2987,2.4774,5.2188,31.3492,68.6508,7.0664,6.7185,98.2152,10.1672,6.8852,0.0629,4.4641,53386281.49,59181189.07,90373599.67,7.0664,8.1354,8.1016,6.5593,1.4472,10.8719,919.7999,1293.8503,11.4148,,0.2812,0.009,0.2993,-55,10.02,-57.2928,-57.4703,-59.9345,5.0383,271.2909,-54.6599,1.0409,-1.0515,1.0409,-1.0515,-0.287,218,1.9626,10.1453,,0.5894,2.3359,0.4958,0.4405,109.8111,6.1981,347.2731,1.4623,37907808.66,54596729,-1872039868,118.7636,109.8111,2.73,0.161,-11.0332,9.7596,0.0042,,92.8256,7.1744,93.9696,6.0304,90.2404,1295612044,0.0065,25.5794,25.5794,,69.2292,-1.2752,5.2188,74.7958,103.8537,6.7185,17,97,181,2,0.682,0.0265,0.0133,0.0389,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
84.5,78117,C002352,顺丰控股股份有限公司,1,0.032,0.3991,0,0.478,0.435,0.0219,1.03,8.274,20.581,1.3167,1.3875,3.3856,3.5216,1.2277,-0.1924,2.311,13.1224,6.9066,9.6377,4.9089,17.9239,82.0761,6.3976,6.7416,95.0918,2.0077,9.2521,0.3153,0.1139,4556048280,6131015728,9589576504,6.3976,6.8893,1.2106,1.1795,0.9441,94.9116,105.3612,224.6874,130.9803,18812.6294,0.1563,1.5005,0.2057,-8.0357,414.31,-9.9558,-9.9164,-6.12,48.4043,-14.352,-14.1805,11.2008,16.9273,11.2008,16.9273,10.8198,29,118.0665,13.8214,10.0907,2.7215,7.0328,2.6193,1.369,105.202,5.9652,121.5351,3.365,-850258121.5,5424885792,-43465682950,121.5179,105.202,8.1662,3.4623,79.6855,48.4547,0.0139,0.0894,69.2011,30.7989,75.991,24.009,51.5453,5552258472,0.2257,76.0733,76.0733,-0.636,20.4177,0.8424,4.9089,76.084,95.7027,6.7416,0,0,0,3,0.3381,0.2238,0.0746,0.6619,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
32,78163,C002359,北讯集团股份有限公司,3,0.06,0.3287,1,0.0289,0.1273,0.3986,-1.02,4.5831,2.4802,-0.9804,-0.334,-0.8211,-0.8003,0.741,-0.4222,1.8881,-20.0029,-7.7606,-3.5882,-41.0634,24.9554,75.0446,-39.5279,-13.4683,141.3416,2.6268,4.6157,12.8089,44.8531,-1107271019,-363171421.1,157488639.6,-39.5279,-41.5958,0.4772,0.4281,0.3111,219.7197,45.5125,51.921,315.8365,37.2417,0.0736,,0.1332,-585.7143,59.74,-414.5943,-415.707,-610.0748,-571.1719,48.5641,-721.6842,-18.1596,26.3844,-18.1596,26.3844,,199,8.2123,2.3054,,1.0239,0.9352,0.4871,0.189,87.471,29.8782,,7.1119,-459000038.7,805662574,-2888815119,,87.471,5.6467,0.02,,68.7226,0.1041,0.1252,34.1763,65.8237,55.2299,44.7701,31.2774,-3161178269,0.9837,,,,,,-41.0634,,,-13.4683,190,26,25,3,0.0588,0.4,0.1333,6.8027,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
66.5,78234,C002369,深圳市卓翼科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,-0.18,3.4227,5.422,-0.2533,-0.2039,0.075,0.2019,0.1457,-0.1587,-0.0026,-5.0057,-2.8618,-3.4692,-3.4314,7.4595,92.5405,-4.671,-3.7599,105.7194,1.3536,5.1326,0.9515,1.7799,-102804664.1,-118235889.6,42425746.72,-4.671,-4.5578,1.1787,0.8871,0.8457,74.9362,133.4469,146.0897,82.4984,195.2958,0.0568,0.6091,0.063,-550,-5.95,-1064.1743,-737.709,-1009.0479,-22.9142,94.3341,-636.4409,-6.4705,-14.7828,-6.4705,-14.7828,,122,5.4432,6.3605,,1.6187,2.7738,1.5311,0.834,118.577,2.687,,1.5731,-92043994.7,84496455.56,-62139271.69,,118.577,2.241,0.6118,,42.8746,0.0346,,59.3644,40.6356,90.1857,9.8143,57.1254,239698250.7,0.0737,,,,,,-3.4314,,,-3.7599,21,136,204,4,0.1737,0.1263,0.0316,0.7271,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
78,78546,C002387,维信诺科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.0284,10.9007,1.3001,0.0084,0.4314,-0.1667,-0.1542,0.6406,5.0998,-4.7646,0.4419,0.1325,11.8853,1.7161,-2.4002,102.4002,0.6461,33.1776,218.7385,2.9724,37.3807,43.8221,-0.436,34639457.5,589948622.9,1135609979,0.6461,0.3782,1.3948,1.3316,1.191,118.8872,84.1134,144.6553,153.2494,640.5832,0.0494,3.6436,0.1205,-13.1498,60.45,-79.1651,-77.4033,99.0442,-1069.5146,142.5408,-88.3506,1839.2559,300.9145,1839.2559,300.9145,,72,7.9209,13.5068,,0.3106,0.704,0.2268,0.0772,87.3105,49.2743,,25.1548,6974742731,876171161,-35805945409,2871.3595,87.3105,3.8036,5.4125,,48.0677,0.1114,,59.1262,40.8738,41.0099,58.9901,51.9323,2869584199,0.546,-16825.9549,-16825.9549,10.8972,699.391,8.449,1.7161,243.176,2.127,33.1776,8,56,140,2,0.5976,0.0122,0.0061,0.0204,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
70.5,78514,C002388,深圳市新亚电子制程股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.0638,2.275,1.6628,0.0551,0.0885,0.2864,0.3312,-0.445,-0.3286,-0.4579,2.7202,1.1628,2.3002,2.6096,22.9243,77.0757,3.3139,5.3235,98.0069,6.6137,7.7153,2.1274,2.3774,32164103.21,44592363.81,65337861,3.3139,3.3351,2.2417,1.9122,1.3211,60.6826,164.792,196.6618,65.6876,1342.5657,-0.3224,0.0098,-0.3263,-46.3415,13.73,25.0868,-56.6315,-56.0715,111.19,-422.8592,-36.2869,-5.9653,-7.3869,-5.9653,-7.3869,,222,3.4718,3.0266,,0.5397,3.2276,0.7084,0.4083,105.2987,-26.7637,-1342.7889,0.9548,-165562289.4,-224185393.9,-360141645.8,-1025.5785,105.2987,-10.9281,0.8832,,35.2522,,,66.2916,33.7084,98.8006,1.1994,64.7478,853166334.8,0.0065,63.8946,63.8946,-0.4492,35.9147,-6.2348,2.6096,83.6571,58.5969,5.3235,230,35,54,5,0.1444,0.0778,0.0156,0.5388,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
78.5,78749,C002402,深圳和而泰智能控制股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.2649,1.8694,3.1213,0.2903,0.3039,0.6198,0.7119,0.3407,-0.0301,0.2681,15.1996,8.2382,15.0512,8.8239,20.6228,79.3772,9.299,9.735,91.0875,2.3817,4.3184,-0.0253,0.7554,221939592.1,260033971.8,303994058.3,9.299,10.8118,1.506,1.0812,1.0266,121.2982,82.4414,114.188,234.4751,85.9854,0.1503,0.8722,0.2166,26.1429,33.98,19.2147,18.5945,28.8451,47.4114,56.9116,2.865,21.1416,72.1452,21.1416,72.1452,15.0964,168,4.5697,4.0052,,1.5063,8.7982,1.8293,0.9336,85.6668,10.9164,122.4832,6.2862,-25737887.79,291588353.9,-241280852.7,123.7134,85.6668,10.1918,0.4588,84.5826,53.6123,0.0325,,53.312,46.688,69.3811,30.6189,46.3877,681211625.4,0.3539,95.7948,95.7948,-0.3609,-1.7858,0.0512,8.8239,94.8422,95.57,9.735,39,95,165,9,0.562,0.033,0.0037,0.0587,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
73.5,78377,C002421,深圳达实智能股份有限公司,3,0.06,0.3287,1,0.0289,0.1273,0.3986,0.1137,1.6859,1.3287,0.1365,0.1469,0.5545,0.6052,-0.1004,0.0828,0.0646,6.8771,3.4987,5.3851,8.4597,31.9612,68.0388,10.2735,11.0561,90.2573,10.0407,5.3868,1.0515,3.5078,216769784.1,279434188.3,347493577.2,10.2735,11.9635,1.8233,1.6907,1.4141,107.2214,93.265,104.5662,147.3333,107.3284,-0.0555,0.4524,-0.0762,-30.4587,13.88,-33.3415,-34.4567,-35.8457,34.3668,-190.8854,-32.8569,3.5346,23.9634,3.5346,23.9634,,342,5.5616,1.2969,,0.6203,15.3677,0.8018,0.4136,82.2768,-7.5561,-77.5571,6.8061,157507159.6,-190975018.5,-1672160389,-89.3189,82.2768,-3.125,0.4311,,50.8261,0.1273,,51.1161,48.8839,72.8617,27.1383,49.1739,2062514874,0.2805,96.3543,96.3543,0.2745,-6.3578,-1.6039,8.4597,83.6661,91.4543,11.0561,48,76,153,5,0.663,0.0327,0.0065,0.0493,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
74,78841,C002425,凯撒(中国)文化股份有限公司,3,0.06,0.3287,1,0.0289,0.1273,0.3986,0.34,4.8135,0.9151,0.3169,0.3877,1.037,1.178,0.1687,-0.2239,0.5101,7.288,5.9606,7.2095,37.3388,55.3107,44.6893,34.6323,42.3709,84.8118,6.246,13.8256,4.9157,6.586,278245862.9,315518103.7,451454848.7,34.6323,53.5467,1.6093,1.4708,1.0652,22.273,448.9733,495.3972,70.2842,175.4823,0.1573,0.9885,0.2521,9.6774,5.59,28.4142,29.8238,11.5836,236.3945,-31.1583,3.7704,5.3278,3.3887,5.3278,3.3887,6.1648,324,3.3429,1.6605,,0.7887,108.1251,0.195,0.1581,88.1749,18.4325,121.361,0.9499,-182220385.6,137259288.3,56049730.62,49.3656,88.1749,2.9146,0.1024,82.4527,18.2215,,0.0624,83.2045,16.7955,62.4096,37.5904,81.7785,331754525.8,0.0838,40.7085,40.7085,-5.6291,57.0854,7.1758,37.3388,100.0784,88.0548,42.3709,253,180,45,4,0.4102,0.0513,0.0128,0.1251,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
80.5,79076,C002429,深圳市兆驰股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.0984,1.9258,2.8425,0.1071,0.0914,0.7966,0.8781,0.1982,-0.2409,0.2696,5.2535,2.3601,2.8331,3.236,10.0981,89.9019,3.7661,3.2172,99.4178,3.2765,1.7251,0.6391,1.4743,445384756.5,413984098.4,581198277.6,3.7661,3.9,1.73,1.5513,1.0753,114.5107,87.3281,121.7264,132.1693,229.0651,0.0899,0.4587,0.12,-24.3077,28.28,-30.3136,-31.5215,-31.1347,8.906,181.3754,-30.1967,5.8258,12.3155,5.8258,12.3155,,131,7.278,4.4148,,0.9774,11.0003,1.5178,0.7293,84.8904,6.9729,1197.6804,8.7209,-1090329953,897262766.2,-5297164222,215.4821,84.8904,5.0856,0.6593,,53.4801,,,54.8994,45.1006,74.9163,25.0837,46.5199,5459486844,0.2884,15.6247,15.6247,-2.3832,43.7215,-1.0728,3.236,86.8444,115.8199,3.2172,66,36,90,5,0.4207,0.0345,0.0069,0.082,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
78.5,77024,C002436,深圳市兴森快捷电路科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.14,1.7093,2.3343,0.1853,0.2147,0.6652,0.7207,0.2239,-0.0538,0.2369,8.695,5.2599,7.9187,6.94,29.5612,70.4388,7.938,9.1964,93.9053,6.0475,9.3198,1.0225,1.1795,214720816.3,319413225.8,511655096,7.938,9.1531,1.4677,1.2154,1.1831,81.7217,122.3665,194.4119,100.6752,251.4416,0.1603,0.9132,0.2288,27.2727,17.9,25.7036,27.3003,25.7612,4.2333,-17.3093,22.769,6.1604,6.6455,6.1604,6.6455,5.8783,147,7.295,3.6763,4.6844,1.6348,2.3259,1.4065,0.7579,106.041,9.593,157.3993,1.3987,-80016205.12,333190502.6,50842163.3,138.2278,106.041,7.2706,0.3274,58.423,43.9399,0.0355,0.0841,66.034,33.966,70.0725,29.9275,56.0601,681101942,0.2346,76.687,76.687,4.8985,0.0094,0.1196,6.94,87.3231,86.4201,9.1964,20,144,69,4,0.4615,0.0539,0.0135,0.1168,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
67.5,75213,C002446,广东盛路通信科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.16,3.4543,1.8598,0.1783,0.1992,0.7358,0.8247,-0.015,0.762,0.0101,4.5295,2.7104,4.0413,8.4109,31.9681,68.0319,9.589,10.7094,92.8694,7.1653,9.4639,1.125,0.9362,121131496.7,151792784,219843659.2,9.589,11.2006,2.2525,1.8374,1.6224,90.9463,109.955,129.682,266.6235,101.6506,-0.0044,0.6902,-0.0083,23.0769,15.93,31.305,30.8918,30.0741,211.5484,-109.2317,7.3176,12.0018,58.7724,12.0018,58.7724,3.6811,339,2.0267,2.2217,,0.5914,5.0523,0.53,0.3223,92.1759,-0.805,-11.2888,1.2135,580721169.6,-11409370.8,-4529795068,-9.5704,92.1759,-0.2594,1.5355,77.9005,47.6138,0.0185,0.1496,56.4615,43.5385,53.6349,46.3651,52.3862,1726377307,0.4214,74.2111,74.2111,-3.344,8.5826,0.2034,8.4109,87.5354,89.7211,10.7094,46,108,176,4,0.56,0.02,0.005,0.0357,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
79,79327,C002449,佛山市国星光电股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.7204,5.5813,5.8641,0.82,0.8437,1.8354,2.1777,0.8923,0.2402,0.3315,13.4797,7.0077,11.9698,11.9589,24.4425,75.5575,13.9834,14.3881,87.7248,2.2343,3.1229,0.1605,1.535,445534633.5,521827701.4,800852143.7,13.9834,17.3558,1.4652,1.1488,1.1283,76.89,130.056,147.64,80.4528,232.8398,0.2079,0.1643,0.2238,24.0572,25.41,24.0037,25.1992,25.1212,66.5633,-13.4894,13.517,9.2861,-2.581,9.2861,-2.581,8.0132,168,3.329,5.9161,,0.9821,1.6661,1.0973,0.586,108.131,15.2159,123.9568,1.2621,148578559.3,551850570.2,-322217417.7,127.2345,108.131,8.9163,1.1079,58.3549,43.4513,,,59.6188,40.3812,92.8979,7.1021,56.5487,1147126574,0.0546,87.2357,87.2357,,-0.318,0.6241,11.9589,84.9884,97.7979,14.3881,38,90,164,7,0.6826,0.018,0.0026,0.0264,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
74.5,79035,C002456,欧菲光集团股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,-0.1934,3.1664,15.8662,-0.2471,0.0161,0.9727,1.006,0.2376,-0.0859,0.3531,-5.8659,-1.5408,0.2203,-1.2314,12.3154,87.6846,-1.5571,0.1017,101.6705,0.4449,1.9846,2.2807,4.2738,-519008316.4,43771928.76,1874971169,-1.5571,-1.2467,0.9128,0.5041,0.4383,340.6469,29.3559,32.7648,451.6186,26.2712,0.022,,0.0295,-162.9557,32.51,-170.0623,-150.4263,-164.5701,25.639,95.7021,-166.8899,-5.6657,23.104,-5.6657,23.104,,143,4.5416,5.5793,,2.2588,4.1724,4.8648,1.2512,98.1346,1.4974,,3.6722,-233161796.5,644506274.1,-1662043078,,98.1346,1.8735,0.4618,,77.0781,0.1225,0.0332,24.6788,75.3212,74.7675,25.2325,22.9219,-1908267949,0.8485,,,,,,-1.2314,,-1132.7303,0.1017,22,128,248,6,0.4921,0.1933,0.0322,0.3928,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
75.5,79981,C002465,广州海格通信集团股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.19,3.6519,1.7642,0.1874,0.2103,0.8338,0.9822,0.2727,-0.1187,-0.1321,5.1918,3.8242,4.942,10.9738,37.6029,62.3971,10.6199,11.921,97.0878,4.9437,7.4646,0.1602,5.5978,430196411,485159583.5,637876053.4,10.6199,15.6976,3.6014,2.8448,1.9565,31.7431,315.029,504.7174,42.1611,1942.1209,0.2352,0.1036,0.2986,46.1538,2.25,19.5343,29.7338,30.9394,7.4692,257.5422,41.8602,3.4009,-2.6372,3.4009,-2.6372,1.9541,456,1.4745,1.6927,,0.5469,3.1921,0.4912,0.3485,99.4234,15.4555,530.7105,1.7075,-273757081.7,629007539.6,-5064684143,140.8395,99.4234,5.386,0.553,35.6496,23.2091,0.0213,,83.4633,16.5367,78.7655,21.2345,76.7909,5479665067,0.0642,24.7474,24.7474,-2.0667,28.3828,9.7548,10.9738,93.2529,98.7152,11.921,125,197,237,6,0.6158,0.0305,0.0051,0.0495,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
83,80190,C002475,立讯精密工业股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.66,3.7666,8.7128,0.8005,0.8367,1.7829,1.8531,0.7637,-0.0449,-0.0786,19.149,8.8851,14.42,7.8475,21.0475,78.9525,9.1877,9.6029,91.4248,1.0819,2.5106,0.8418,0.5686,2722631125,3442652055,4598661107,9.1877,10.9788,1.3434,1.0678,0.8943,127.5434,78.4047,88.0848,140.2821,102.2932,0.159,0.4387,0.1829,60.9756,52.34,60.4859,60.9942,60.9671,47.8333,1761.1443,34.4494,19.7836,35.5412,19.7836,35.5412,20.1012,143,6.8963,3.9372,,1.7726,4.5304,2.5214,1.1322,88.6822,8.7652,102.2154,4.4603,-184735376.2,3142307168,-40359861951,111.6931,88.6822,9.924,0.9259,92.4437,54.2421,0.0411,,46.8325,53.1675,86.9071,13.0929,45.7579,5899500106,0.1552,93.6677,93.6677,0.2951,2.4778,-0.358,7.8475,85.7196,95.3343,9.6029,13,96,148,3,0.5664,0.0442,0.0147,0.078,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
